income_yearly,debt_total,payment_history_score,credit_limit,credit_used,credit_utilization_ratio,credit_worthiness
2243839,2212461,89,866791,,0.1,good
1092486,760389,94,226047,159434,0.71,bad
573637,118147,73,95509,64490,0.68,good
1762532,1636321,40,634277,614385,0.97,bad
3470650,3917237,36,744828,39344,0.05,bad
2022730,366814,47,414437,18009,0.04,good
2849687,4106727,65,774777,625850,0.81,bad
1232470,546733,84,,271010,0.87,good
3087935,1383429,57,1078570,860409,0.8,good
2936836,1248350,33,,25457,0.03,good
3051409,2404569,36,1141095,217109,0.19,bad
3551356,,56,726454,597587,0.82,bad
2715274,1761813,41,832462,,0.99,bad
1046941,467461,55,248968,65425,,good
156636,89624,75,48719,7654,0.16,good
1217038,1269327,54,162952,9681,0.06,good
926164,360858,43,293193,174924,0.6,good
2149960,2065163,100,,112157,0.38,good
3641952,860038,32,696335,299878,0.43,good
2513212,1282454,37,572497,422064,0.74,bad
3236779,3979777,70,,223180,0.38,good
1501744,2040125,74,513864,484539,0.94,bad
3110740,2406489,27,942508,272401,0.29,bad
1395205,169163,82,474082,447020,,good
2999758,4457588,,957902,392727,,bad
477420,193074,24,108565,102372,0.94,bad
2199651,1299348,82,438114,279931,0.64,good
1939130,2206715,28,596385,69346,0.12,bad
3815878,3914502,0,,218858,0.29,bad
955323,,81,171706,132151,0.77,bad
2212629,3102326,,774641,192830,0.25,good
2906986,3361426,27,782981,423832,0.54,bad
1156567,589840,49,242980,126444,0.52,good
674184,,73,238839,110374,0.46,good
2492517,,56,749204,129227,0.17,good
3327879,4151022,,1156377,265753,0.23,good
521439,572797,31,125119,,0.12,bad
,1865901,45,538295,122377,0.23,good
916409,,28,279913,140309,0.5,bad
2371973,2917948,14,755943,648279,0.86,bad
763781,359239,89,81721,77145,0.94,good
3432213,1430437,83,1154209,,0.45,good
157719,53150,57,58628,43273,0.74,good
949525,,61,137568,18646,0.14,good
1757066,,78,519964,411388,0.79,bad
766080,581504,,264287,241449,0.91,bad
2444872,927055,86,552391,437762,0.79,good
3394980,3799108,65,1048946,466975,0.45,good
3774816,518054,80,393158,109757,0.28,good
201918,4814,83,80593,55334,0.69,good
,3222731,24,281384,124253,0.44,bad
3514662,4299937,91,1232659,721620,0.59,good
